t,avg_water_temp,n_active_bubbles,retentained,dissolved,degraded,precipitated,leached
142.2996709,47.92724609,4360,99.96452058,0.002858854,0.000537109,0.032083455,0.034942309
142.801683,47.9720459,4344,99.96430723,0.002786868,0.000569741,0.032336162,0.03512303
143.305386,48.01422119,4281,99.9640876,0.002716622,0.000608648,0.03258713,0.035303752
143.815592,48.06472778,4341,99.96386797,0.002682234,0.000646808,0.032802986,0.03548522
144.3221043,48.13726807,4216,99.96364834,0.002634583,0.000687219,0.033029855,0.035664438
144.8279046,48.23425293,4251,99.96341616,0.002562198,0.000734742,0.033286895,0.035849093
145.3381728,48.34820557,3933,99.96317771,0.002499112,0.000782183,0.033540994,0.036040106
145.8472759,48.45761108,3838,99.96295808,0.002447953,0.000811861,0.033782104,0.036230057
146.3488804,48.56188965,3841,99.96273845,0.002427723,0.000847257,0.033986566,0.036414289
146.8517715,48.66049194,3790,99.9625251,0.002433876,0.000881721,0.034159303,0.036593179
147.3615918,48.74807739,3735,99.9623243,0.002434768,0.000909054,0.03433188,0.036766648
147.8670197,48.8163147,4237,99.96212977,0.00243666,0.000942243,0.034491328,0.036927988
148.3697605,48.86450195,4253,99.96191014,0.002404441,0.001005052,0.034680366,0.037084807
148.8726736,48.91348267,4177,99.96170306,0.00234404,0.001060031,0.034892867,0.037236907
149.3810309,48.97619629,4172,99.96148971,0.002286059,0.00112079,0.035103442,0.037389501
149.8881078,49.05194092,4231,99.96128891,0.002264401,0.001176729,0.035269965,0.037534366
150.388856,49.13690186,4242,99.96109438,0.002246828,0.001233809,0.035424985,0.037671813
150.8962342,49.24404907,4269,99.96089357,0.002241219,0.001300539,0.035564668,0.037805887
151.4014661,49.36700439,4457,99.96069277,0.002234208,0.001368407,0.035704613,0.037938821
151.9092839,49.50634766,4377,99.96049824,0.002223646,0.001434933,0.035843177,0.038066823
152.4183008,49.6645813,4303,99.96031627,0.002200417,0.001501812,0.035981505,0.038181922
152.9232532,49.81735229,4175,99.96014056,0.00216946,0.001572516,0.036117462,0.038286922
153.4284693,49.97335815,4082,99.95999623,0.002130385,0.001614913,0.036258468,0.038388853
153.9345436,50.13626099,3909,99.95983936,0.002087417,0.001657893,0.036415333,0.03850275
154.4404208,50.29129028,3809,99.9596511,0.002075231,0.001691658,0.036582006,0.038657237
154.9475956,50.43753052,3854,99.95943775,0.002105809,0.001721643,0.036734796,0.038840605
155.4512474,50.58065796,4012,99.95921185,0.002151614,0.001761987,0.036874552,0.039026166
155.9617049,50.71893311,4088,99.95898594,0.002198185,0.00181066,0.037005211,0.039203396
156.464433,50.84741211,4318,99.95877259,0.002213054,0.001868942,0.037145414,0.039358468
156.9708594,50.99273682,4075,99.95857179,0.002227818,0.001925557,0.037274838,0.039502656
157.4790809,51.14880371,4076,99.95837098,0.002263116,0.001986463,0.037379437,0.039642553
157.9885824,51.28936768,4305,99.95815763,0.002330255,0.002050123,0.037461991,0.039792246
158.4930199,51.41867065,4058,99.95794428,0.002405664,0.002110319,0.03753974,0.039945404
158.9935507,51.53399658,4080,99.95773092,0.002431397,0.002172572,0.037665107,0.040096504
159.4970516,51.62307739,4191,99.95749247,0.002432702,0.002249501,0.037825328,0.04025803
160.0059169,51.70230103,4322,99.95724147,0.002437852,0.002331314,0.037989369,0.040427221
160.5142674,51.79309082,4433,99.95697791,0.002455327,0.002415447,0.038151314,0.040606641
161.0146309,51.88162231,4499,99.95672063,0.002434632,0.002501118,0.038343618,0.04077825
